method,scramble,solve,time,memconsum
3,100,25,46.368,1271090701
3,100,26,14.704,1158530242
3,100,26,17.197,1401391634
3,100,25,18.601,1493497485
3,100,25,17.67,729858266
3,100,26,42.406,1506109453
3,100,24,10.971,1408830672
3,100,25,15.282,823284338
3,100,25,8.185,1243487736
3,100,26,58.633,1252904346
3,100,26,59.482,1515365850
3,100,26,23.734,1449332866
3,100,25,28.073,815411040
3,100,24,7.024,1341148309
3,100,25,17.272,1203685146
3,100,23,6.168,1258168109
3,100,24,32.861,1408150560
3,100,25,20.775,1406517088
3,100,25,13.611,1495168682
3,100,23,10.483,1463631976
3,100,24,21.281,1493135440
3,100,25,65.599,1408382738
3,100,22,10.884,1174013424
3,100,26,17.372,1380113658
3,100,27,77.832,1471445168
3,100,26,28.15,1456557192
3,100,26,35.388,991059837
3,100,25,23.376,1586682914
3,100,24,17.2,1274068728
3,100,22,6.793,966746397
3,100,26,24.378,1185586128
3,100,26,25.051,850043976
3,100,26,27.894,831773765
3,100,25,8.201,1568298621
3,100,25,13.569,1482278434
3,100,25,16.083,1379409872
3,100,23,6.922,1303092336
3,100,26,146.473,832740205
3,100,24,16.468,1728356210
4,100,17,23339.508,1558674946
4,100,17,32354.242,894789628
4,100,18,103884.14,1127508934
4,100,18,74928.99,1089686593
4,100,18,93978.266,1092568444
4,15,15,80.069,1737260113
4,2,2,0.0,1342288648
4,3,3,0.0,1361364880
4,4,4,0.001,1445758720
4,5,5,0.001,1255822272
4,6,6,0.003,1136909516
4,7,7,0.002,1677169400
4,8,8,0.001,1147851696
4,9,9,0.002,1704026056
4,10,10,0.005,1338312653
4,11,11,0.004,1908083210
4,12,12,0.213,1239618300
4,13,13,1.252,1863255800
4,14,14,20.529,1254594772
4,15,13,1.719,1709416770
4,16,15,25.03,1529272952
4,17,16,2710.377,1554819938
5,100,8,0.578,634053720
5,100,9,0.899,584970785
5,100,7,0.554,604445008
5,100,8,0.62,622093968
5,100,8,0.597,572289917
5,100,8,0.619,589431312
5,100,10,1.173,608573525
5,100,9,0.79,629518160
5,100,10,1.447,580164752
5,100,7,0.699,605765768
5,100,8,0.538,621830256
5,100,8,0.603,571684104
5,100,9,0.821,590204768
5,100,10,1.016,607483034
5,100,10,1.122,623709149
5,100,9,1.094,587417296
5,100,10,1.446,608710378
5,100,9,0.899,568054264
5,100,9,0.669,587537600
5,100,10,1.483,606131522
5,100,10,1.67,568105752
5,100,8,0.586,592305000
5,100,9,0.81,609967685
5,100,9,0.596,566462520
5,100,10,1.273,584950849
5,100,10,1.226,607452590
5,100,10,1.475,569351699
5,100,10,1.106,592231047
5,100,9,0.755,612634170
5,100,8,0.761,571199256
5,100,10,1.913,588456230
5,100,9,0.866,615412265
5,100,8,0.567,576508960
5,100,10,1.428,592882088
5,100,10,1.632,616289050
5,100,9,0.643,582068104
5,100,9,0.814,598928176
5,100,9,0.869,618694000
5,100,9,0.799,581037672
5,100,9,0.813,599045456
5,100,9,0.585,616678979
5,100,9,0.835,578736252
5,100,9,0.693,597044513
5,100,8,0.466,613547728
5,100,8,0.709,576472405
5,100,9,0.747,593428132
5,100,9,0.96,612400275
5,100,8,0.521,577210688
5,100,9,0.732,593952452
5,100,9,0.967,612235729
5,1,1,0.228,1162348696
5,2,2,0.249,1223881936
5,3,3,0.251,1227087080
5,4,3,0.351,1255922984
5,5,3,0.2,1258917888
5,6,3,0.217,1285599816
5,7,6,0.27,1289150085
5,8,1,0.329,1317430640
5,9,6,0.285,1320635784
5,10,7,0.372,1349471696
5,11,6,0.228,1352466608
5,12,7,0.377,1381933304
5,13,8,0.306,1405964096
5,14,6,0.301,1418913024
5,15,8,0.435,1448379632
5,16,4,0.297,1477846240
5,17,8,0.334,1500370957
5,18,9,0.423,1513097590
5,19,7,0.3,1542348800
5,20,7,0.302,1571605176
5,21,9,0.54,1590554508
5,22,8,0.455,1622030952
5,23,7,0.273,1640625952
5,24,8,0.463,1672456880
5,25,8,0.349,1704497936
5,26,9,0.424,1734385056
5,27,9,0.708,1766236887
5,28,9,0.61,1819524055
5,29,10,1.72,1854180012
5,30,8,0.362,1923846808
5,31,9,0.786,1955908887
5,32,9,0.702,1990718750
5,33,8,0.277,2041426336
5,34,7,0.307,2067611144
5,35,8,0.377,2094216384
5,36,9,0.681,2137903892
5,37,7,0.41,2179965056
5,38,7,0.396,2214370328
5,39,10,0.943,2251062202
5,40,6,0.22,2307708888
5,41,9,0.372,2339981183
5,42,9,0.609,2366991102
5,43,9,0.558,2414858343
5,44,9,0.684,1086952024
5,45,8,0.413,1122882248
5,46,9,0.567,1152815160
5,47,8,0.331,1179261248
5,48,7,0.374,1214354600
5,49,10,0.848,1245507293
5,50,9,0.671,1284862818
